Height,Weight
61.66,145.02
69.99,151.09
67.13,157.96
59.97,150.93
63.69,146.35
72.61,167.16
56.29,130.37
64.28,138.54
71.06,165.58
62.53,135.8
63.28,143.42
65.62,157.14
71.97,161.84
63.44,148.43
64.22,152.78
64.26,149.2
74.82,165.24
74.75,170.26
70.02,170.83
67.54,145.23
68.95,157.2
71.96,162.75
62.26,143.79
70.7,166.36
60.98,148.31
63.45,144.58
69.63,164.21
60.29,141.15
65.44,152.88
62.55,141.05
64.98,144.46
54.81,120.55
58.91,131.72
63.2,146.97
69.71,164.14
65.31,151.82
66.01,149.08
68.75,167.16
62.48,151.3
67.13,152.64
62.78,140.27
59.09,136.56
64.44,154.54
68.3,158.74
67.35,157.7
65.95,150.63
75.57,176.09
67.65,163.32
69.91,159.61
74.95,173.11
60.82,141.16
61.84,143.66
72.97,160.78
62.81,135.07
66.12,146.97
70.28,162.48
69.56,162.76
73.02,165.29
71.98,172.45
70.28,160.92
62.91,144.79
69.18,158.14
67.26,155.36
60.69,143.12
71.67,168.17
69.23,154.73
66.18,159.84
65.07,144.18
61.21,141.17
66.8,152.26
67.87,150.86
62.68,143.78
70.65,158.79
61.61,142.07
57.51,134.28
70.16,168.73
64.39,149.63
65.5,147.58
62.65,142.14
59.58,137.73
71.02,163.82
63.24,152.76
72.64,174.06
69.23,157.43
64.74,146.16
61.66,129.02
63.07,142.32
61.15,135.75
74.35,169.23
66.66,155.27
70.6,163.27
60.93,139.99
66.72,154.46
70.71,162.01
64.66,149.7
70.12,145.13
61.66,140.48
60.55,138.7
67.52,153.58
64.48,147.22
