,Date,Price,Open,High,Low,Volume,%Chg
0,11-Dec-1995,877.41,882.58,882.58,874.37,0.0,-1.09
1,18-Dec-1995,882.63,883.29,883.58,881.17,0.0,-0.09
2,14-Dec-1995,884.34,890.81,891.98,884.31,0.0,-0.55
3,29-Nov-1995,845.12,845.36,845.36,822.54,0.0,0.17
4,19-Dec-1995,883.72,882.35,884.19,879.54,0.0,0.12
5,17-Nov-1995,898.86,898.72,900.41,885.31,0.0,-0.58
6,29-Dec-1995,908.53,912.72,912.72,906.32,0.0,-0.66
7,23-Nov-1995,849.5,856.2,856.2,842.33,0.0,-1.73
8,28-Dec-1995,914.55,923.67,927.6,913.76,0.0,-0.86
9,07-Dec-1995,898.62,881.97,901.25,881.97,0.0,2.24
10,20-Nov-1995,892.79,896.27,898.86,892.05,0.0,-0.68
11,12-Dec-1995,879.49,878.99,880.08,875.43,0.0,0.24
12,24-Nov-1995,871.11,849.6,874.97,849.6,0.0,2.54
13,22-Dec-1995,900.65,900.86,906.63,899.38,0.0,0.02
14,04-Dec-1995,863.7,870.29,873.05,861.97,0.0,-1.07
15,26-Dec-1995,905.33,899.87,906.47,898.41,0.0,0.52
16,08-Dec-1995,887.12,900.28,908.12,886.54,0.0,-1.28
17,13-Dec-1995,889.26,881.3,889.26,881.3,0.0,1.11
18,13-Nov-1995,917.26,949.29,949.29,916.48,0.0,-3.33
19,30-Nov-1995,862.1,840.87,863.98,838.36,0.0,2.01
20,21-Dec-1995,900.5,888.25,900.5,887.73,0.0,1.69
21,06-Nov-1995,988.92,1001.53,1001.53,988.92,0.0,-1.11
22,27-Nov-1995,861.25,871.94,878.58,858.93,0.0,-1.13
23,05-Dec-1995,866.52,860.02,867.59,854.47,0.0,0.33
24,20-Dec-1995,885.53,883.68,887.19,883.68,0.0,0.2
25,10-Nov-1995,948.82,951.93,951.93,946.0,0.0,-0.45
26,14-Nov-1995,902.56,916.66,916.66,897.52,0.0,-1.6
27,22-Nov-1995,864.42,878.0,878.0,856.92,0.0,-1.39
28,09-Nov-1995,953.07,960.32,960.32,952.13,0.0,-1.13
29,06-Dec-1995,878.93,870.39,878.93,868.12,0.0,1.43
30,15-Dec-1995,883.41,876.95,883.85,875.5,0.0,-0.11
31,08-Nov-1995,964.01,976.28,976.28,962.98,0.0,-1.45
32,27-Dec-1995,922.5,908.81,923.09,908.81,0.0,1.9
33,01-Dec-1995,873.05,867.99,877.41,866.37,0.0,1.27
34,21-Nov-1995,876.59,891.96,891.96,876.0,0.0,-1.81
35,15-Nov-1995,913.21,901.33,913.54,901.33,0.0,1.18
36,07-Nov-1995,978.22,987.17,987.17,977.05,0.0,-1.08
37,16-Nov-1995,904.08,915.96,915.96,900.83,0.0,-1.0
38,28-Nov-1995,843.68,854.5,854.5,841.44,0.0,-2.04
39,12-Sep-1996,989.28,990.88,992.68,981.01,0.0,-0.21
40,13-May-1996,1088.1,1081.68,1090.16,1080.68,0.0,0.88
41,19-Aug-1996,975.66,1001.19,1001.19,972.96,0.0,-2.65
42,12-Jan-1996,875.15,875.11,877.6,872.1,0.0,0.22
43,13-Dec-1996,824.62,826.54,826.54,814.89,0.0,-0.32
44,29-Oct-1996,926.39,936.78,936.78,922.89,0.0,-1.02
45,03-Jan-1996,895.96,901.66,904.48,895.48,0.0,-0.49
46,29-Jul-1996,1033.97,1054.51,1057.84,1030.87,0.0,-1.64
47,11-Jan-1996,873.27,862.62,873.72,861.97,0.0,1.1
48,29-Apr-1996,1118.37,1112.7,1118.69,1107.51,0.0,-0.47
49,30-Jul-1996,1014.91,1031.01,1031.01,999.03,0.0,-1.84
50,11-Oct-1996,908.79,900.11,915.59,897.6,0.0,1.15
51,13-Sep-1996,980.72,991.65,991.86,979.8,0.0,-0.87
52,28-Oct-1996,935.89,936.84,948.37,934.64,0.0,-0.11
53,01-Oct-1996,936.27,944.51,945.66,933.56,0.0,-0.81
54,31-Jul-1996,1042.81,1017.06,1047.04,1004.76,0.0,2.75
55,04-Mar-1996,998.84,1000.58,1002.41,996.51,0.0,-0.06
56,29-Aug-1996,1025.86,1028.7,1035.59,1024.67,0.0,-0.12
57,04-Nov-1996,890.13,906.56,906.56,886.68,0.0,-1.83
58,06-Aug-1996,1035.51,1031.8,1038.04,1023.73,0.0,0.31
59,01-Apr-1996,994.8,988.33,995.01,988.33,0.0,0.96
60,10-May-1996,1078.63,1076.97,1080.91,1063.75,0.0,-1.09
61,16-Feb-1996,1023.08,1040.84,1040.84,1020.46,0.0,-2.21
62,23-Jul-1996,1092.14,1125.15,1127.08,1086.28,0.0,-2.61
63,07-Nov-1996,874.89,867.24,876.25,866.76,0.0,0.96
64,09-May-1996,1090.53,1101.41,1107.41,1089.87,0.0,-1.62
65,07-Aug-1996,1048.59,1036.59,1050.54,1033.52,0.0,1.26
66,22-Jul-1996,1121.37,1125.81,1127.13,1115.06,0.0,0.19
67,17-Sep-1996,971.21,965.02,975.19,962.93,0.0,0.93
68,08-Feb-1996,980.27,936.72,983.25,936.72,0.0,5.18
69,08-May-1996,1108.53,1082.78,1113.62,1075.94,0.0,1.41
70,28-Nov-1996,825.47,829.28,835.15,823.26,0.0,-0.44
71,11-Mar-1996,975.26,981.16,981.16,966.28,0.0,-1.35
72,22-Apr-1996,1106.93,1136.28,1136.28,1102.83,0.0,-2.19
73,25-Oct-1996,936.95,929.42,939.73,929.42,0.0,0.45
74,19-Jul-1996,1119.27,1118.92,1126.71,1112.35,0.0,0.05
75,18-Sep-1996,994.43,972.73,996.97,969.67,0.0,2.39
76,08-Mar-1996,988.62,993.93,993.93,981.6,0.0,-0.98
77,20-Dec-1996,884.38,864.25,887.92,864.25,0.0,2.77
78,07-Mar-1996,998.45,1005.06,1010.5,998.45,0.0,-0.44
79,29-Nov-1996,830.32,825.59,833.81,825.59,0.0,0.59
80,30-Aug-1996,1029.0,1025.91,1029.89,1023.44,0.0,0.31
81,05-Nov-1996,881.57,890.19,894.4,878.29,0.0,-0.96
82,31-Dec-1996,899.1,918.15,922.1,895.6,0.0,-1.39
83,01-Nov-1996,906.68,910.32,915.39,904.95,0.0,-0.29
84,06-Mar-1996,1002.91,999.67,1003.72,997.86,0.0,0.41
85,23-Feb-1996,1028.84,1025.36,1029.64,1019.45,0.0,0.38
86,26-Jul-1996,1051.24,1062.04,1066.12,1046.46,0.0,-1.08
87,25-Jul-1996,1062.68,1069.27,1075.79,1060.6,0.0,-0.63
88,06-Nov-1996,866.57,879.81,880.15,851.77,0.0,-1.7
89,18-Apr-1996,1121.68,1107.76,1124.93,1107.76,0.0,2.32
90,02-Jan-1996,900.38,906.78,906.78,899.52,0.0,-0.84
91,26-Dec-1996,911.8,887.95,913.35,887.95,0.0,3.14
92,16-Dec-1996,847.27,823.71,848.88,823.71,0.0,2.75
93,24-Jul-1996,1069.43,1090.74,1090.74,1049.88,0.0,-2.08
94,05-Feb-1996,943.08,933.14,949.16,927.65,0.0,2.7
95,16-Sep-1996,962.27,980.69,980.69,959.65,0.0,-1.88
96,03-Jun-1996,1108.87,1098.18,1109.99,1098.18,0.0,1.74
97,08-Apr-1996,1032.13,1024.4,1034.72,1024.4,0.0,2.1
98,14-May-1996,1105.47,1087.94,1107.44,1085.85,0.0,1.6
99,24-Jun-1996,1146.78,1157.92,1159.92,1138.88,0.0,-0.92
100,24-May-1996,1085.03,1079.77,1087.77,1077.87,0.0,0.77
101,19-Dec-1996,860.58,858.03,864.54,853.47,0.0,0.02
102,02-Aug-1996,1032.94,1036.34,1036.48,1024.8,0.0,-0.36
103,14-Jun-1996,1196.06,1169.26,1198.35,1169.26,0.0,2.37
104,06-Sep-1996,1032.09,1038.04,1038.79,1029.96,0.0,-0.52
105,13-Jun-1996,1168.4,1166.37,1172.34,1164.66,0.0,0.39
106,23-May-1996,1076.71,1079.89,1079.89,1073.76,0.0,-0.41
107,05-Jan-1996,884.73,887.79,887.79,881.74,0.0,-0.56
108,12-Jun-1996,1163.87,1164.83,1171.01,1163.58,0.0,1.82
109,08-Jan-1996,869.7,883.64,883.64,868.44,0.0,-1.7
110,25-Jun-1996,1127.78,1147.28,1154.22,1123.79,0.0,-1.66
111,19-Feb-1996,1021.38,1027.2,1028.26,1019.93,0.0,-0.17
112,27-May-1996,1065.29,1080.55,1080.55,1065.29,0.0,-1.82
113,17-May-1996,1115.54,1122.42,1122.42,1113.59,0.0,-1.16
114,21-Aug-1996,999.19,980.23,1001.84,980.23,0.0,2.24
115,09-Oct-1996,874.72,873.18,875.85,859.35,0.0,0.09
